ID,magnet,network,connection,value
PB016,3T,effector,foot-hand,0.431881
PB016,3T,effector,foot-mouth,0.1678116
PB016,3T,effector,hand-mouth,0.3683379
PB016,7T,effector,foot-hand,0.4473029
PB016,7T,effector,foot-mouth,0.2027926
PB016,7T,effector,hand-mouth,0.2853869
PB016,3T,SCAN,top-middle,0.4733582
PB016,3T,SCAN,top-low,0.1925628
PB016,3T,SCAN,middle-low,0.6671926
PB016,7T,SCAN,top-middle,0.3690291
PB016,7T,SCAN,top-low,0.2513285
PB016,7T,SCAN,middle-low,0.7251788
PB020,3T,effector,foot-hand,0.3224405
PB020,3T,effector,foot-mouth,0.1122631
PB020,3T,effector,hand-mouth,0.345135
PB020,7T,effector,foot-hand,0.1461573
PB020,7T,effector,foot-mouth,0.2047365
PB020,7T,effector,hand-mouth,0.3535387
PB020,3T,SCAN,top-middle,0.4649338
PB020,3T,SCAN,top-low,0.2610527
PB020,3T,SCAN,middle-low,0.6634305
PB020,7T,SCAN,top-middle,0.8040212
PB020,7T,SCAN,top-low,0.3965622
PB020,7T,SCAN,middle-low,0.6914428
PB021,3T,effector,foot-hand,0.3528376
PB021,3T,effector,foot-mouth,0.2522428
PB021,3T,effector,hand-mouth,0.642429
PB021,7T,effector,foot-hand,0.4887489
PB021,7T,effector,foot-mouth,0.2091408
PB021,7T,effector,hand-mouth,0.7089776
PB021,3T,SCAN,top-middle,0.666714
PB021,3T,SCAN,top-low,0.5666139
PB021,3T,SCAN,middle-low,0.5791077
PB021,7T,SCAN,top-middle,0.8897558
PB021,7T,SCAN,top-low,0.4364015
PB021,7T,SCAN,middle-low,0.9992162
PB022,3T,effector,foot-hand,0.5544315
PB022,3T,effector,foot-mouth,0.4241222
PB022,3T,effector,hand-mouth,0.4371091
PB022,7T,effector,foot-hand,0.6895046
PB022,7T,effector,foot-mouth,0.3623951
PB022,7T,effector,hand-mouth,0.46346
PB022,3T,SCAN,top-middle,0.501921
PB022,3T,SCAN,top-low,0.4811741
PB022,3T,SCAN,middle-low,0.6650393
PB022,7T,SCAN,top-middle,0.6918801
PB022,7T,SCAN,top-low,0.62461
PB022,7T,SCAN,middle-low,0.6379247
